sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
723,601,1153,16290,-151,-143,52
724,565,1182,16303,-161,-140,33
725,588,1168,16260,-156,-128,27
726,602,1185,16287,-141,-129,42
727,591,1178,16303,-157,-117,31
728,603,1176,16276,-138,-120,19
729,601,1174,16300,-162,-109,45
730,577,1173,16295,-176,-138,41
731,575,1153,16275,-160,-125,15
732,570,1178,16293,-156,-113,11
733,598,1203,16276,-140,-113,29
734,597,1147,16316,-148,-133,18
735,584,1172,16320,-168,-127,33
736,573,1173,16308,-178,-132,26
737,586,1163,16252,-151,-136,45
738,604,1164,16313,-160,-113,44
739,625,1176,16326,-160,-137,36
740,594,1172,16247,-148,-117,29
741,589,1184,16285,-180,-118,35
742,593,1186,16291,-179,-122,33
743,575,1160,16298,-153,-159,27
744,580,1183,16314,-157,-134,41
745,617,1178,16285,-151,-112,25
746,602,1153,16312,-165,-108,32
747,600,1166,16293,-167,-118,36
748,608,1200,16281,-146,-140,8
749,616,1208,16300,-148,-150,25
750,606,1155,16325,-171,-112,27
751,604,1165,16307,-174,-103,28
752,589,1191,16296,-141,-118,30
753,562,1147,16299,-169,-113,31
754,580,1157,16275,-181,-156,41
755,598,1203,16284,-160,-152,36
756,616,1178,16331,-177,-109,28
757,624,1155,16246,-159,-123,32
758,604,1169,16283,-149,-112,46
759,613,1198,16308,-160,-137,40
760,617,1174,16256,-168,-114,48
761,595,1182,16266,-170,-118,41
